Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (constant LCU),NY.GDP.MKTP.KN,Mali,MLI,2116386073400,2441806663900,2517656705800,2747242878100,2790099830200,2972426681700,3111006768400,3219693423900,3373374062200,3535509290900,3723383966400,3843021274400,3810865384500,3898327347500,4174511516700,4432154019500,4691536933700,4940444365400,5174941782900,5421070335800,5354095698100
GDP (constant LCU),NY.GDP.MKTP.KN,Malta,MLT,6043573663.54068,5972580006.15511,6125792432.03487,6375361356.10841,6384303982.2264,6600322890.95171,6766000418.46023,7089057033.01222,7360309816.57961,7276853202.67244,7680255748.33731,7716126426.14597,8033853855.98006,8473575271.14686,9120408898.78208,9996709856.47688,10334743649.4898,11458054761.1829,12307815018.7903,13176590116.2313,12112188741.255
GDP (constant LCU),NY.GDP.MKTP.KN,Marshall Islands,MHL,151086600,161399900,167438600,164733000,167022430.419922,170003265.380859,170376617.431641,176197158.813477,162724639.892578,168742553.710938,177933563.232422,177552490.234375,175228561.401367,181555099.487305,179453475.952148,183222930.908203,187151763.916016,194139633.178711,205126403.808594,226373046.875,219930511.474609
GDP (constant LCU),NY.GDP.MKTP.KN,Mauritania,MRT,116274507900,115344900400,116938371700,125040177300,130958026200,142176266900,168241724500,164928333700,164382290300,164543180900,168854589900,175900526000,183763302700,191390974100,199572600000,210302300000,212954021084.544,226307400252.009,237107182426.825,244554730572.859,243672725891.496
GDP (constant LCU),NY.GDP.MKTP.KN,Mauritius,MUS,249653291200,258010536800,262177197100,277712364000,289737364500,294887570800,309235457100,326945421700,344557849100,355980207100,371562184200,386712773700,400232710000,413682154400,429513645600,445365091100,462567176400,480782996900,500046724300,514504500200,439661906795.761
GDP (constant LCU),NY.GDP.MKTP.KN,Mexico,MEX,17811854384000,17731550484000,17689599763000,17899317904000,18537507529000,18929250872000,19838803936000,20251027289000,20442061681000,19155182680000,20107450897000,20799960570000,21539027005000,21722561391000,22266442955000,22868154259000,23273490746000,23709107311000,24176670375000,24109423261000,22023575576000
GDP (constant LCU),NY.GDP.MKTP.KN,"Micronesia, Fed. Sts.",FSM,237557400,242706700,244034300,247870800,240236000,245141300,244942600,240445000,234653900,237218900,242578600,250313400,245640500,236601500,231146000,241829300,244006200,250550900,251081200,254030900,247000000
GDP (constant LCU),NY.GDP.MKTP.KN,Moldova,MDA,74131264000,78653271400,84788226300,90384249200,97072683400,104353134800,109362085100,112642947900,121429098000,114143351800,122247529900,129360094300,128597213900,140227373100,147238217100,146740205000,153557776000,159969753000,166489473000,172403702000,158135609000
GDP (constant LCU),NY.GDP.MKTP.KN,Monaco,MCO,3485295600,3561544600,3598103700,3637234400,3727091700,3797000000,4017000000,4597000000,4631000000,4106100000,4190900000,4485200000,4530600000,4964500000,5321300000,5580100000,5745500000,5570600000,5892600000,6310000000,5489000000
GDP (constant LCU),NY.GDP.MKTP.KN,Mongolia,MNG,7521160521400,7743238621100,8109724437600,8677780999400,9599830458900,10296170043000,11177134529000,12322569104000,13419323094000,13249085704000,14092411430000,16529098947000,18565454160000,20728128355000,22362588014000,22894780891000,23235863785000,24545640704000,26446671274000,27928278387000,26655376727000
GDP (constant LCU),NY.GDP.MKTP.KN,Montenegro,MNE,2260949700,2285816500,2329337000,2387166500,2492823700,2597038800,2819512000,3011525000,3229040000,3041914000,3125090000,3225982000,3138113000,3249484000,3307445000,3419580000,3520433000,3686473000,3873668000,4031053000,3414024000
GDP (constant LCU),NY.GDP.MKTP.KN,Morocco,MAR,531510215000,572552504700,593909843200,630560626300,659385949700,680435195900,733446677300,758685074500,801812826200,831846885700,860957842400,908522708800,936344796600,974942922300,1001454000000,1044963000000,1050409195700,1103537823100,1137368334700,1170249366200,1086246439100
GDP (constant LCU),NY.GDP.MKTP.KN,Mozambique,MOZ,274119156100,309348078400,339257413900,363743999200,393588121100,418431496900,459900893400,495080340500,529132112000,560504206100,597944370100,640602070800,691815023600,737277052200,794066321800,852772389000,892827024900,916381653300,948316979500,970297140600,958464144500
GDP (constant LCU),NY.GDP.MKTP.KN,Myanmar,MMR,16496000656220,18367306487297.3,20576069396434.5,23424619803762.8,26602090215050.8,30211714541056.7,34162228962911.2,38258770525578.3,42182324282598.2,46632563331351,51125349410508.9,53984014313588.7,57942484177348.9,62824718487956.9,67844988716563.9,72589280422452.2,76972175400000,81695271400000,86816635400000,92528397400000,84156107000000
GDP (constant LCU),NY.GDP.MKTP.KN,Namibia,NAM,72241474000,73092441500,76592590900,79839959200,89635961400,91903090300,98403557000,103691807600,106439445600,106754475400,113201644500,118965123000,124986759300,132004415400,140046809700,146018650100,146067996300,144567511600,146099845500,144873841800,133137031300
GDP (constant LCU),NY.GDP.MKTP.KN,Nauru,NRU,..,..,..,..,51000000,47000000,43000000,40000000,66000000,62000000,61000000,67000000,88000000,92000000,106000000,100000000,108000000,101000000,109000000,118000000,123000000
GDP (constant LCU),NY.GDP.MKTP.KN,Nepal,NPL,1026890253700,1076179878300,1077472835000,1119979545200,1172423743800,1213214488500,1254034482500,1296816624800,1375982600100,1438356974600,1507634210600,1559222569200,1632040476100,1689572402700,1791140757800,1862357468500,1870423594200,2038336745400,2193706438400,2339742692000,2284299666500
GDP (constant LCU),NY.GDP.MKTP.KN,Netherlands,NLD,580703086000,594215786000,595506860000,596433742000,608272628000,620747546000,642231550000,666461935000,680926324000,655957546000,664765346000,675077115000,668121431000,667251702000,676749332000,690008000000,705131000000,725656676000,742788814000,757314706000,727884821000
GDP (constant LCU),NY.GDP.MKTP.KN,New Caledonia,NCL,294809993200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,969083000000,1007804720000,993695453900,969846763000
GDP (constant LCU),NY.GDP.MKTP.KN,New Zealand,NZL,170524426000,176340812000,184653452000,193384747000,201292166000,208042128000,213864111000,220419298000,217750656000,217506628000,220696909000,225599867000,230727823000,237107265000,246143036000,255340000000,265047409000,274388775000,284061482000,291009578000,289106604000
GDP (constant LCU),NY.GDP.MKTP.KN,Nicaragua,NIC,97688549600,100580954600,101339273500,103893765900,109412780000,114098271100,118837000000,124870000000,129161000000,124907000000,130416000000,138655000000,147662000000,154937000000,162351000000,170132000000,177895000000,186133000000,179874000000,174663000000,171578000000
GDP (constant LCU),NY.GDP.MKTP.KN,Niger,NER,2673528889000,2867844575300,3008898666900,3074210133800,3085394158800,3311611211800,3508024527700,3618272059400,3898015660200,3974518150900,4315458945100,4417206977700,4883175693600,5142722860800,5484309541000,5725216000000,6053894533200,6356913796157.87,6815337423723.07,7220158418888.28,7476520330750.35
GDP (constant LCU),NY.GDP.MKTP.KN,Nigeria,NGA,25430423387000,26935315648000,31064272133000,33346624772000,36431373714000,38777013731000,41126678971000,43837391995000,46802760443000,50564263245000,54612264177000,57511041765000,59943794014000,63942845560000,67977459215000,69780692718000,68652430365000,69205691115000,70536348622000,72094093996000,70800543492000
GDP (constant LCU),NY.GDP.MKTP.KN,North Macedonia,MKD,279794000000,271212000000,275263000000,281381000000,294533000000,308447000000,324292000000,345285000000,364179000000,362873000000,375061000000,383837000000,382086000000,393263000000,407535000000,423249000000,435304000000,440013000000,452688000000,470390000000,441645000000
GDP (constant LCU),NY.GDP.MKTP.KN,Northern Mariana Islands,MNP,..,..,1457000000,1462000000,1417000000,1237000000,1152000000,1075000000,956000000,788000000,799000000,740000000,746000000,766000000,798000000,825000000,1066000000,1313000000,1060000000,940000000,661000000
GDP (constant LCU),NY.GDP.MKTP.KN,Norway,NOR,2457126000000,2507918000000,2542466000000,2566490000000,2669525000000,2741204000000,2808679000000,2890524000000,2904454000000,2848097000000,2870513000000,2902251000000,2981133000000,3011427000000,3073105000000,3130183000000,3166641000000,3244659000000,3271555000000,3308319000000,3266033000000
GDP (constant LCU),NY.GDP.MKTP.KN,Oman,OMN,19592252700,20470534700,20245173500,19704912600,19959540600,20456577300,21555481900,22515279300,24361549800,25850624100,26293700000,27054800000,29452700000,30992400000,31392900000,32967900000,34631600000,34736900000,35184000000,34786874300,33611177300
GDP (constant LCU),NY.GDP.MKTP.KN,Pakistan,PAK,16640025682900,17247611289100,17695155184500,18650925525500,20111527169500,21574957414300,22880595665700,23897595662900,24404330089700,25251782799600,25630993246400,26317933816300,27114731346200,28298795072700,29463694645300,30706456224700,32725049000000,34175628000000,36278011000000,37184104000000,36710346000000
GDP (constant LCU),NY.GDP.MKTP.KN,Palau,PLW,231997700,246938600,255777500,247430500,259445800,269719500,268625400,274054700,258209100,241191900,241713100,257868400,262181500,253300600,269243000,289541400,289300000,277500000,281412375,281970375,260683015.625
GDP (constant LCU),NY.GDP.MKTP.KN,Panama,PAN,22819680800,22950728100,23462334100,24449041600,26288118000,28178570000,30616711100,34285813200,37664904700,38133076500,40355469700,44921136600,49313745500,52718340900,55389274700,58564771900,61465608900,64902242600,67294169200,69502679700,57222715000
GDP (constant LCU),NY.GDP.MKTP.KN,Papua New Guinea,PNG,29285768300,29250248000,29203769200,29835768700,30647652400,32592183400,34355402300,37040342000,36930533000,39441964900,43436826200,43917908000,45963217500,47721285900,54184547400,57749000000,60919173600,63072429300,62896298100,65714323100,63632900000
GDP (constant LCU),NY.GDP.MKTP.KN,Paraguay,PRY,106468267857100,105580264247200,105557665430400,110118543494100,114586513499600,117031206068000,122657033295700,129307035067200,137707197796500,137347592899600,152586625973600,159127055175100,158000367021100,171103458311700,180174060876600,185502081243600,193419357992100,202722981633400,209218733463200,208377977311200,206669725095200
GDP (constant LCU),NY.GDP.MKTP.KN,Peru,PER,222207000000,223580000000,235773000000,245593000000,257770000000,273971000000,294598000000,319693000000,348870000000,352693000000,382081000000,406256000000,431199000000,456435000000,467308000000,482506000000,501581000000,514215000000,534626000000,546605000000,487191000000
GDP (constant LCU),NY.GDP.MKTP.KN,Philippines,PHL,6985383228900,7198383735400,7465894031000,7845677425800,8361077904200,8774324607600,9240804277000,9843239249400,10270877529000,10419633017000,11183860997000,11615360393000,12416466190000,13254643627000,14096046745000,14990907450000,16062675895000,17175978086000,18265190258000,19382750611000,17537843279000
GDP (constant LCU),NY.GDP.MKTP.KN,Poland,POL,1059139000000,1072469000000,1094303000000,1132586000000,1189021000000,1230718000000,1306175000000,1398411000000,1457144000000,1498413000000,1542386000000,1620156000000,1645191000000,1659283000000,1722949000000,1798471000000,1851589000000,1946761000000,2062500000000,2154281000000,2110763000000
GDP (constant LCU),NY.GDP.MKTP.KN,Portugal,PRT,174309785000,177697796000,179067711000,177401448000,180574691000,181986511000,184943854000,189579619000,190184848000,184247126000,187448651000,184269213000,176792870000,175161700000,176549314000,179713159000,183342440000,189771059000,195178255000,200414419000,183778987000
GDP (constant LCU),NY.GDP.MKTP.KN,Puerto Rico,PRI,9945400000,10573300000,10670200000,10675900000,11609900000,11379218400,11218838100,11088384700,10883900000,10671400000,10627300000,10589200000,10592300000,10559800000,10434100000,10324600000,10194200000,9900000000,9468300000,9626900000,9222300000
GDP (constant LCU),NY.GDP.MKTP.KN,Qatar,QAT,135255123900,140527621100,150620528000,156223549400,186248021100,200203135500,252596787900,298027979300,350670319400,392598430500,469517616600,532316426100,557495056100,588469708000,619860584700,649324701300,669221256100,659198967100,667339231900,671932133833.294,648027449368.838
GDP (constant LCU),NY.GDP.MKTP.KN,Romania,ROU,218047200000,229425200000,242509300000,248186800000,274068000000,286861900000,309893500000,332310600000,363240300000,343198900000,329809900000,344707700000,351343300000,352291800000,366808600000,378401600000,389214600000,421116600000,446505800000,463710400000,446657400000
GDP (constant LCU),NY.GDP.MKTP.KN,Russian Federation,RUS,48910393496000,51404848619000,53820872345000,57749770378000,61907723740000,65869796669000,71271164955000,77329198132000,81350292667000,75004974791000,78380198656000,81750570074000,85040283448000,86533099419000,87170214266000,85450590690000,85616100000000,87179270247000,89626606310000,91596666976000,89166007900000
GDP (constant LCU),NY.GDP.MKTP.KN,Rwanda,RWA,2238990000000,2428959000000,2749389000000,2809941000000,3019216000000,3302355000000,3607066000000,3882404000000,4315729000000,4585387000000,4921709000000,5313398000000,5772556000000,6045012000000,6417818000000,6986234000000,7403365000000,7694234000000,8351026000000,9141224000000,8832569000000
GDP (constant LCU),NY.GDP.MKTP.KN,Samoa,WSM,1251277200,1343748200,1419696300,1493699800,1539814200,1642045600,1677056100,1685206300,1745134000,1735681000,1841986600,1912886100,1841494700,1843470500,1855636000,1927084700,2080940500,2110204400,2097339600,2190710200,2122613200
GDP (constant LCU),NY.GDP.MKTP.KN,San Marino,SMR,1219000000,1287000000,1291000000,1341000000,1402000000,1436000000,1491000000,1597000000,1589000000,1425000000,1347000000,1235000000,1148000000,1139000000,1131000000,1156916927.9,1184039756.2,1187097722,1204831838,1229719870.3,1147969190
GDP (constant LCU),NY.GDP.MKTP.KN,Sao Tome and Principe,STP,..,1865734800,1928427000,2088322900,2162205800,2305227600,2509611600,2600998400,2763009000,2854255000,2895597000,2953493000,3040412000,3196072000,3352878000,3404502000,3580747000,3728022000,3891240000,3969622000,4073819000
GDP (constant LCU),NY.GDP.MKTP.KN,Saudi Arabia,SAU,1422087778337.8,1404869937757.93,1365264204082.39,1518748043978.39,1639616721108.33,1731006499713.17,1779273923451.04,1812139430408.97,1925394026761.76,1885745365879.73,1980777369487.02,2198539311874.84,2317862708425.77,2383929745677.8,2479946121046.1,2596259191863.92,2657610732838.99,2655758430895.58,2729116951837.61,2751830855323.96,2632363209651.71
GDP (constant LCU),NY.GDP.MKTP.KN,Senegal,SEN,6113044876800,6376569161500,6380949646100,6737896839100,7050757194500,7354661647500,7526081967100,7738853275500,8025436095900,8246304482600,8525927535100,8639671173800,8985516826500,9202282111400,9775039000000,10397420000000,11058287144927.3,11877428237584.5,12614926385483.3,13196932173698.3,13374044739223
GDP (constant LCU),NY.GDP.MKTP.KN,Serbia,SRB,2611652600000,2791302300000,2969398700000,3099688700000,3379534700000,3566434700000,3748600700000,3989992800000,4215649900000,4100488800000,4130465200000,4214572900000,4185848800000,4306930200000,4238471100000,4315020400000,4459081100000,4552773700000,4757426400000,4963505500000,4918674200000
GDP (constant LCU),NY.GDP.MKTP.KN,Seychelles,SYC,12770176100,12480144600,12631507900,11887874800,11549016400,12589093300,13773239600,14995761500,14586985100,14225318900,14866188300,16279930600,16786346900,16996803200,17687500900,18429418500,19370208400,19910000000,20648000000,21655000000,19981416190
GDP (constant LCU),NY.GDP.MKTP.KN,Sierra Leone,SLE,3668958100,3436146000,4347554000,4759860000,5068244000,5288890000,5515419000,5955360000,6279087000,6480610000,6910760000,7326085000,8439778000,10218800000,10684701000,8495291000,9034464000,9373600000,9699136000,10208704000,10007747000
GDP (constant LCU),NY.GDP.MKTP.KN,Singapore,SGP,193208700000,191139700000,198638800000,207673400000,228316100000,245134600000,267213300000,291320000000,296748700000,297128400000,340270700000,361418300000,377449000000,395633100000,411203400000,423444100000,438695100000,458632600000,475030700000,481354600000,462576700000
GDP (constant LCU),NY.GDP.MKTP.KN,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,2298911464.29497,2372476493.71302,2481610483.51316,2516118435.45029,2548997256.60927,2589281217.66893,2592020964.63682,2617105542.14552,2419901021.38761,2253968792.45897,2501116459.36314,2168048086.16711
GDP (constant LCU),NY.GDP.MKTP.KN,Slovak Republic,SVK,43296728000,44705510000,46721480000,49290733000,51892732000,55329827000,60029087000,66531455000,70240508000,66408514000,70868930000,72762160000,73721749000,74188216000,76189213000,80126048000,81683659000,84083581000,87472477000,89669135000,86678222000
GDP (constant LCU),NY.GDP.MKTP.KN,Slovenia,SVN,29113180000,30049623000,31103042000,32023773000,33419751000,34689024000,36682393000,39242883000,40620246000,37554052000,38058684000,38386494000,37373306000,36988629000,38012533000,38852641000,40092760000,42023379000,43895254000,45441543000,43514420000
GDP (constant LCU),NY.GDP.MKTP.KN,Solomon Islands,SLB,5555573500,5113538400,4970360200,5294600000,5701400000,6120900000,6374200000,6606200000,7017500000,7218500000,7919300000,8507700000,8717500000,9174100000,9283200000,9438800000,9963100000,10269500000,10551500000,10736100000,10373100000
GDP (constant LCU),NY.GDP.MKTP.KN,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,184400290566569,198278978514689,218001391855105,232006470542028,254047525226389,261653759102762,271143496301531,264202795353223
GDP (constant LCU),NY.GDP.MKTP.KN,South Africa,ZAF,2826727799800,2903049450400,3010473149200,3099254274300,3240411666900,3411409874700,3602578681600,3795693977100,3916816237700,3856572112700,3973801603300,4099713743500,4197952411900,4302291176100,4363118106800,4420792517400,4450170996100,4501701615484.83,4571783379053.4,4583667070562.17,4310326585235.66
GDP (constant LCU),NY.GDP.MKTP.KN,South Sudan,SSD,..,..,..,..,..,..,..,..,26896000000,28252000000,29804000000,28421000000,15324000000,17336000000,17920855700,15986592400,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,Spain,ESP,875260000000,909684000000,934527000000,962394000000,992447000000,1028692000000,1070896000000,1109499000000,1119341000000,1077219000000,1078974000000,1070187000000,1038521000000,1023947000000,1038239000000,1078092000000,1110842000000,1143898000000,1170030000000,1193243000000,1059990000000
GDP (constant LCU),NY.GDP.MKTP.KN,Sri Lanka,LKA,5132360583100,5053044665200,5253381498400,5565446495100,5868488467200,6234784731300,6712886223900,7169149428100,7595720138300,7864525993800,8494943831300,9231411543600,10028283732000,10434604350000,11100121213000,11566987369000,12151539522000,12936611760000,13235458391000,13206276338000,12595550000000
GDP (constant LCU),NY.GDP.MKTP.KN,St. Kitts and Nevis,KNA,1442100000,1517860000,1538620000,1478100000,1537170000,1686780000,1739920000,1750370000,1946035600,1880273100,1881100000,1911510000,1901460000,2010030000,2162420000,2177860000,2263290000,2263700000,2310170000,2403720000,2053750000
GDP (constant LCU),NY.GDP.MKTP.KN,St. Lucia,LCA,4082931000,3943782100,3960206000,4129093400,4429171500,4410998400,4684271100,4763511100,4999272600,4857848200,4873880000,5084770000,5079240000,4977400000,5043500000,5048640000,5221700000,5398560000,5554080000,5517970000,4173540000
GDP (constant LCU),NY.GDP.MKTP.KN,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,582000000,587820000,617211000,567834120,522407390.4,556363870.776,486818386.929
GDP (constant LCU),NY.GDP.MKTP.KN,St. Vincent and the Grenadines,VCT,1600823900,1628810000,1715823100,1830634600,1905959700,1953390600,2090067900,2159520200,2168258500,2138375700,2042780300,2030395400,2054133000,2104715700,2128830000,2188120000,2278920000,2314200000,2387690000,2403490000,2313610000
GDP (constant LCU),NY.GDP.MKTP.KN,Sudan,SDN,15263610300,16255800000,17232200000,18315900000,19257500000,20344300000,21673070000,22916080000,23797603100,23138955800,24031712700,23259445900,19304249600,19681675600,20599113200,20992592700,21720540700,21874595000,21288152300,20824442900,20068557100
GDP (constant LCU),NY.GDP.MKTP.KN,Suriname,SUR,9980149000,10399315300,10690496200,11363997400,12329937200,12884784400,13631270000,14328030700,14921699300,15371394400,16165914900,17111518700,17571878400,18087339200,18133552900,17515000000,16654000000,16915201000,17752211000,17959484000,15090422000
GDP (constant LCU),NY.GDP.MKTP.KN,Sweden,SWE,3076995000000,3121596000000,3190175000000,3263862000000,3405411000000,3502765000000,3666091000000,3792176000000,3775090000000,3611259000000,3826205000000,3948465000000,3925236000000,3971859000000,4077423000000,4260470000000,4348687000000,4460358000000,4547336000000,4637655000000,4537008000000
GDP (constant LCU),NY.GDP.MKTP.KN,Switzerland,CHE,509906196000,517940594000,517561373000,517393691000,531372164000,545983299000,568224630000,590478442000,607058980000,593112561000,612349558000,623452118000,630804201000,642109121000,657197923000,668006382000,681825361000,691117274000,710886309000,719004505000,703605318000
GDP (constant LCU),NY.GDP.MKTP.KN,Syrian Arab Republic,SYR,904623000000,914097000000,950248000000,1018708000000,1089029000000,1156713000000,1215083000000,1284034000000,1341516000000,1420827000000,1494595000000,1537191000000,1132310000000,834511477369.5,748470507527.82,717186000000,671246000000,666391000000,675675000000,683923000000,682676000000
GDP (constant LCU),NY.GDP.MKTP.KN,Tajikistan,TJK,1786700000,1957880800,2169332000,2407958500,2655978200,2833928700,3032303800,3268823500,3527060500,3664615900,3902815900,4191624300,4505996100,4839439800,5163682300,5474500000,5852240500,6267749575.5,6744098543.2,7243161835.4,7561860956.2
GDP (constant LCU),NY.GDP.MKTP.KN,Tanzania,TZA,36786387947047.2,39019619035050,41787356695053.6,44575739183057.2,47920620034061.5,51503318579066.1,54867629371070.4,58581364180075.1,61912544749079.4,65174781894083.6,69304597217088.9,74621753639095.7,77979847142100,83268117227300,88874111468100,94349315551900,100828392681400,107611390861800,113532897033400,120117805061300,122510509224200
GDP (constant LCU),NY.GDP.MKTP.KN,Thailand,THA,5254382000000,5435356000000,5769578000000,6184367000000,6573323000000,6848590000000,7188815000000,7579538000000,7710338000000,7657089000000,8232396000000,8301559000000,8902824000000,9142087000000,9232088000000,9521426000000,9848502000000,10259941000000,10693205000000,10919319000000,10256852000000
GDP (constant LCU),NY.GDP.MKTP.KN,Timor-Leste,TLS,832683800,968839100,903891500,884166200,887702900,914197100,876567900,966551000,1076687600,1185938600,1296604600,1373863300,1440641600,1485364400,1551797300,1595205200,1648934500,1597082600,1586018000,1957336800,2582939200
GDP (constant LCU),NY.GDP.MKTP.KN,Togo,TGO,2095101653378.73,2112353532219,2193185329444.35,2340571143207.36,2317664784778.59,2209515607239.92,2268070689591.54,2241418128436.93,2331873813180.29,2459050106720.77,2603011572862.01,2754591502558.58,2928205015026.59,3098751459266.11,3273311572679.28,3452297273790.97,3597808000000,3742005000000,3921441000000,4114487000000,4203454000000
GDP (constant LCU),NY.GDP.MKTP.KN,Tonga,TON,760839300,789362600,827631000,846733100,826320900,826990500,825761300,827999900,867331300,822237800,828844400,885357300,892644700,895432500,913508600,924213900,984944000,1017668100,1020123000,1027330000,1032350000
GDP (constant LCU),NY.GDP.MKTP.KN,Trinidad and Tobago,TTO,91808820500,95635893200,103226236400,118133126400,127524770800,135442704600,153332056400,160621783900,166069652500,158776323000,164052817000,163569920300,175750425630.672,181957800000,188969800000,187500600000,173387200000,165063200000,164068800000,164661500000,149713700000
GDP (constant LCU),NY.GDP.MKTP.KN,Tunisia,TUN,54870862400,56953909400,57707157400,60420778500,64188491800,66426452800,69909922300,74600543200,77761951200,80128597400,82509324400,80820660600,84228606900,86275303900,88941493800,89802183440,90805656260,92837740370,95274666155,96787481828,88252833665
GDP (constant LCU),NY.GDP.MKTP.KN,Turkiye,TUR,735234598400,692958560800,737638602700,780150235400,856573256200,933598935400,998465278200,1048822953700,1057371118500,1006372481600,1091180540500,1213393967700,1271497249400,1379394179100,1447532322500,1535607237100,1586636758700,1705666208500,1757061000000,1771443000000,1804389000000
GDP (constant LCU),NY.GDP.MKTP.KN,Turkmenistan,TKM,13930091900,14535193600,14572575200,15048927700,15801435400,17861000000,19820942600,22013000000,25248911000,26789094600,29253691300,33553983900,37278476100,41080880700,45312211400,48257505100,51249470400,54580686000,57964688500,61616463900,59521504100
GDP (constant LCU),NY.GDP.MKTP.KN,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,734300600,727161000,734948000,798971500,889373800,953863900,930110600,982298700,1034601700,757505600
GDP (constant LCU),NY.GDP.MKTP.KN,Tuvalu,TUV,42000000,42000000,46000000,44000000,43000000,41000000,42000000,45000000,48000000,45000000,44000000,47000000,46000000,48000000,48000000,53000000,56000000,57371100,58167000,66206900,63376600
GDP (constant LCU),NY.GDP.MKTP.KN,Uganda,UGA,37892699632000,39856928772000,43337509117000,46142858184000,49283910212000,52404845918000,58056574596000,62940540952000,68421876509000,73075602310000,77195320970000,84445239572000,87685788152000,90830994796000,95469104537000,100421907890000,105223079600000,108518040920000,115358935510000,122786603240000,126410412147018
GDP (constant LCU),NY.GDP.MKTP.KN,Ukraine,UKR,1786380478800,1943581961000,2047362380900,2242201871200,2506677486300,2583663327100,2779283348700,3007624945500,3075100758400,2609639118900,2716425665600,2864342671100,2868705493700,2870009007500,2580743813600,2328528050700,2385367000000,2441661000000,2526834982800,2607681165700,2509820000000
GDP (constant LCU),NY.GDP.MKTP.KN,United Arab Emirates,ARE,754146375713.776,764697524763.136,783306108758.151,852241282564.738,933770404857.027,979106276462.182,1075424091800.03,1109669790904.61,1145088633835.67,1085052531001.45,1102444296018.82,1170973576383.92,1192337764325.82,1252617111281.58,1304797280104.77,1393350908042.75,1470841989977.81,1481653689266.24,1501121342763.95,1517758993229.57,1442522884075.07
GDP (constant LCU),NY.GDP.MKTP.KN,United Kingdom,GBR,1500221942000,1538908781000,1566485805000,1615776417000,1654983176000,1700310557000,1740884649000,1786501593000,1782468977000,1700208793000,1738271174000,1758176144000,1784776237000,1816765178000,1874825041000,1916451000000,1953267239000,2005127845000,2033275671000,2066654148000,1852550828000
GDP (constant LCU),NY.GDP.MKTP.KN,United States,USA,13754300444000,13885563060000,14121054284000,14515908489000,15075141499000,15600241891000,16034367080000,16356739241000,16376725286000,15950948713000,16383037055000,16636956919000,17016393933000,17329814706000,17726282036000,18206020741000,18509601053000,18924571726000,19481973191000,19928975197000,19377380521000
GDP (constant LCU),NY.GDP.MKTP.KN,Uruguay,URY,1071295690700,1030113692100,950465227100,958119170700,1006064990400,1081118768000,1125429257000,1199049333900,1285094848700,1339627774000,1444164417000,1518714105300,1572448924600,1645371850900,1698662010100,1704959651000,1733770027800,1763944153800,1766695906700,1779847750100,1668376298100
GDP (constant LCU),NY.GDP.MKTP.KN,Uzbekistan,UZB,40809457428000,42508697226000,44197775291000,46068502430000,49500145455000,52940409126000,56885220553000,62273960514000,67896776681000,73363100903000,78936618900000,84876709900000,90905031443000,97537962850000,104242564840000,111767599490000,118397822040000,123601731480000,130869195470000,138697217460000,141465038440000
GDP (constant LCU),NY.GDP.MKTP.KN,Vanuatu,VUT,42854000000,41398000000,39246000000,40929000000,42561000000,44819000000,48611000000,50009000000,52810000000,54414000000,55099000000,56829000000,57403000000,57669000000,59478000000,59696000000,62495000000,66443000000,68370000000,70586000000,67062000000
GDP (constant LCU),NY.GDP.MKTP.KN,"Venezuela, RB",VEN,41013293000,42405381000,38650110000,35652678000,42172343000,46523649000,51116533000,55591059000,58525074000,56650924000,55807510000,58138269000,61409103000,62233885000,59810257000,..,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,Viet Nam,VNM,1.4450852693E+15,1.5345778583E+15,1.6315757777E+15,1.7441392265E+15,1.8755847202E+15,2.0171397454E+15,2.1578948453E+15,2.3117420551E+15,2.4426276012E+15,2.5744781364E+15,2.73984317E+15,2.91555394E+15,3.07604191E+15,3.24687023E+15,3.45539213E+15,3.69682571E+15,3.94414368E+15,4.21787476E+15,4.5327394E+15,4.8663156E+15,5.00575565E+15
GDP (constant LCU),NY.GDP.MKTP.KN,Virgin Islands (U.S.),VIR,..,..,4797000000,4778000000,4935000000,5107000000,5286000000,5498000000,5565000000,5198000000,5229000000,4800000000,4089000000,3832000000,3764000000,3748000000,3808000000,3780000000,3852000000,3965000000,3889000000
GDP (constant LCU),NY.GDP.MKTP.KN,West Bank and Gaza,PSE,7118373500,6455607500,5649354300,6441160200,7853400000,8740100000,8653000000,8980800000,9648000000,10477100000,11082400000,12146400000,12886900000,13492400000,13471100000,13972400000,15211000000,15426900000,15616200000,15829000000,14037400000
